species,habitat
Chilobrycon deuterodon,Freshwater
Bathygobius andrei,Marine
Epalzeorhynchos frenatum,Freshwater
Pellona harroweri,Marine
Hoplerythrinus unitaeniatus,Freshwater
Odontostilbe fugitiva,Freshwater
Trachelyopterus porosus,Freshwater
Cetopsis gobioides,Freshwater
Phalloceros enneaktinos,Freshwater
Doryrhamphus excisus,Marine
Gephyrocharax melanocheir,Freshwater
Myloplus schomburgkii,Freshwater
Psalidodon gymnodontus,Freshwater
Diodon liturosus,Marine
Cichlasoma bimaculatum,Freshwater
Hemipsilichthys gobio,Freshwater
Peristedion barbiger,Marine
Tometes makue,Freshwater
Umbrina coroides,Marine
Pareques perissa,Marine
Astyanax trierythropterus,Freshwater
Knodus victoriae,Freshwater
Adontosternarchus nebulosus,Freshwater
Tometes trilobatus,Freshwater
Astroblepus cyclopus,Freshwater
Cichlasoma portalegrense,Freshwater
Platydoras brachylecis,Freshwater
Hasemania nana,Freshwater
Fistularia tabacaria,Marine
Cichlasoma paranaense,Freshwater
Tetranematichthys wallacei,Freshwater
Bathylagoides wesethi,Marine
Oreochromis aureus,Freshwater
Strongylura timucu,Marine and freshwater
Citharichthys macrops,Marine
Anodus elongatus,Freshwater
Astroblepus latidens,Freshwater
Charax metae,Freshwater
Harttia carvalhoi,Freshwater
Apistogramma moae,Freshwater
Kyphosus incisor,Marine
Astyanax magdalenae,Freshwater
Fistularia petimba,Marine
Dialommus fuscus,Marine
Oligosarcus paranensis,Freshwater
Cyphocharax gillii,Freshwater
Haemulon squamipinna,Marine
Scorpaena wellingtoni,Marine
Corydoras habrosus,Freshwater
Mugil thoburni,Marine
Gephyrocharax chocoensis,Freshwater
Peckoltia oligospila,Freshwater
Upeneus parvus,Marine
Euthynnus alletteratus,Marine
Rineloricaria uracantha,Freshwater
Carlastyanax aurocaudatus,Freshwater
Cetopsis umbrosa,Freshwater
Trichomycterus sp3,Unknown
Oncorhynchus gilae,Freshwater
Corydoras schwartzi,Freshwater
Loricariichthys derbyi,Freshwater
Lepthoplosternum pectorale,Freshwater
Pterophyllum scalare,Freshwater
Haemulon album,Marine
Gymnotus ardilai,Freshwater
Planaltina britskii,Freshwater
Leporinus elongatus,Freshwater
Calophysus macropterus,Freshwater
Trichomycterus jacupiranga,Freshwater
Astyanax integer,Freshwater
Antennarius striatus,Marine
Oligosarcus varii,Freshwater
Chaetostoma milesi,Freshwater
Astyanax giton,Freshwater
Tatia jaracatia,Freshwater
Sternarchorhynchus mesensis,Freshwater
Hypostomus rhantos,Freshwater
Sternarchogiton nattereri,Freshwater
Orthopristis chalceus,Marine
Serrapinnus piaba,Freshwater
Gymnotus henni,Freshwater
Neoplecostomus corumba,Freshwater
Schizodon isognathus,Freshwater
Characidium chupa,Freshwater
Parodon suborbitalis,Freshwater
Hyphessobrycon ericae,Freshwater
Myxodagnus sagitta,Marine
Labrisomus philippii,Marine
Apogon maculatus,Marine
Pseudauchenipterus affinis,Freshwater
Hypostomus macushi,Freshwater
Peckoltia vittata,Freshwater
Hypopygus nijsseni,Freshwater
Alphestes immaculatus,Marine
Astyanax mexicanus,Freshwater
Pareiorhaphis scutula,Freshwater
Harttia novalimensis,Freshwater
Trichomycterus variegatus,Freshwater
Hemiramphus balao,Marine
Adontosternarchus sachsi,Freshwater
Astyanax petenensis,Freshwater
Oligosarcus planaltinae,Freshwater
Corydoras paleatus,Freshwater
Apistogramma allpahuayo,Freshwater
Cichla ocellaris,Freshwater
Knodus tiquiensis,Freshwater
Scomberomorus regalis,Marine
Bairdiella ronchus,Marine
Astyanax ruberrimus,Freshwater
Menticirrhus elongatus,Marine
Bryconamericus diaphanus,Freshwater
Megadontognathus kaitukaensis,Freshwater
Auchenipterus menezesi,Freshwater
Corydoras flaveolus,Freshwater
Neoplecostomus jaguari,Freshwater
Awaous tajasica,Freshwater
Creagrutus phasma,Freshwater
Pareiorhaphis splendens,Freshwater
Platynematichthys notatus,Freshwater
Rhamdia cinerascens,Freshwater
Pogonias cromis,Marine
Panaqolus albomaculatus,Freshwater
Creagrutus peruanus,Freshwater
Diplectrum conceptione,Marine
Brachyhypopomus draco,Freshwater
Curimata macrops,Freshwater
Hisonotus nigricauda,Freshwater
Pseudopimelodus mangurus,Freshwater
Tometes siderocarajensis,Freshwater
Pterengraulis atherinoides,Freshwater
Diplectrum euryplectrum,Marine
Sebastes rubrivinctus,Marine
Trichomycterus mimonha,Freshwater
Gasteropelecus sternicla,Freshwater
Hypostomus iheringii,Freshwater
Hemiodus amazonum,Freshwater
Tetrapturus pfluegeri,Marine
Thayeria boehlkei,Freshwater
Apistogramma paucisquamis,Freshwater
Zalieutes elater,Marine
Cynopoecilus notabilis,Freshwater
Heterochromis multidens,Freshwater
Achirus declivis,Marine
Hypostomus brevis,Freshwater
Probolodus heterostomus,Freshwater
Holacanthus clarionensis,Marine
Naucrates ductor,Marine
Hyphessobrycon agulha,Freshwater
Schindleria praematura,Marine
Curimata cyprinoides,Freshwater
Curimata vittata,Freshwater
Hypostomus faveolus,Freshwater
Corydoras kanei,Freshwater
Characidium timbuiense,Freshwater
Ancistrus brevipinnis,Freshwater
Thunnus atlanticus,Marine
Characidium lauroi,Freshwater
Caulolatilus princeps,Marine
Cyanocharax alburnus,Freshwater
Hypostomus mutucae,Freshwater
Epapterus dispilurus,Freshwater
Calamus penna,Marine
Megaleporinus garmani,Freshwater
Hypopomus artedi,Freshwater
Hemibrycon loisae,Unknown
Hypostomus luteus,Freshwater
Megalops atlanticus,Marine and freshwater
Hyphessobrycon herbertaxelrodi,Freshwater
Gymnotus coropinae,Freshwater
Melanorivulus pictus,Freshwater
Hydrolycus scomberoides,Freshwater
Eretmobrycon scleroparius,Unknown
Characidium lagosantense,Freshwater
Parotocinclus doceanus,Freshwater
Adontosternarchus balaenops,Freshwater
Pseudopercis semifasciata,Marine
Compsura heterura,Freshwater
Pterygoplichthys pardalis,Freshwater
Trachelyopterus lucenai,Freshwater
Cetopsis coecutiens,Freshwater
Merluccius hubbsi,Marine
Loricaria cataphracta,Freshwater
Euthynnus lineatus,Marine
Acanthicus adonis,Freshwater
Trachinotus falcatus,Marine
Deuterodon parahybae,Freshwater
Trinectes paulistanus,Marine and freshwater
Pareiorhaphis steindachneri,Freshwater
Hyporthodus acanthistius,Marine
Gymnotus arapaima,Freshwater
Loricariichthys brunneus,Freshwater
Hypoclinemus mentalis,Freshwater
Grammonus diagrammus,Marine
Diapoma pyrrhopteryx,Freshwater
Metynnis altidorsalis,Freshwater
Labrisomus cricota,Marine
Schedophilus haedrichi,Marine
Stephanolepis diaspros,Marine
Hypostomus nigrolineatus,Unknown
Gerres simillimus,Marine
Farlowella smithi,Freshwater
Konia dikume,Freshwater
Moenkhausia simulata,Freshwater
Curimatella immaculata,Freshwater
Mulloidichthys vanicolensis,Marine
Diogenichthys laternatus,Marine
Megaleporinus brinco,Freshwater
Hyphessobrycon robustulus,Freshwater
Microglanis parahybae,Freshwater
Myaka myaka,Freshwater
Hemibrycon quindos,Freshwater
Hypoptopoma gulare,Freshwater
Anisotremus davidsonii,Marine
Scorpaena isthmensis,Marine
Pimelodina flavipinnis,Freshwater
Semaprochilodus taeniurus,Freshwater
Characidium lanei,Freshwater
Pomacanthus arcuatus,Marine
Paralonchurus dumerilii,Marine
Peckoltia vermiculata,Freshwater
Fistularia commersonii,Marine
Pareiorhina carrancas,Freshwater
Plagioscion ternetzi,Freshwater
Chaenomugil proboscideus,Marine
Pyrrhulina spilota,Freshwater
Corydoras davidsandsi,Freshwater
Trichomycterus sp6,Unknown
Thalassoma duperrey,Marine
Apistogramma arua,Freshwater
Holacanthus ciliaris,Marine
Mulloidichthys dentatus,Marine
Astyanax brachypterygium,Freshwater
Elops saurus,Marine
Apareiodon vittatus,Freshwater
Gymnachirus nudus,Marine
Hyphessobrycon pulchripinnis,Freshwater
Elagatis bipinnulata,Marine
Astyanax anterior,Freshwater
Rineloricaria lanceolata,Freshwater
Abudefduf troschelii,Marine
Hypostomus hondae,Freshwater
Steindachnerina corumbae,Freshwater
Mesoheros atromaculatus,Freshwater
Trichomycterus jequitinhonhae,Freshwater
Ophioblennius steindachneri,Marine
Microlepidotus inornatus,Marine
Orthospinus franciscensis,Freshwater
Rhamphichthys heleios,Freshwater
Gobioides broussonnetii,Marine and freshwater
Brachyhypopomus hendersoni,Freshwater
Rhinelepis aspera,Freshwater
Citharichthys platophrys,Marine
Umbrina galapagorum,Marine
Bryconamericus huilae,Freshwater
Neoplecostomus botucatu,Freshwater
Diapoma lepiclastus,Freshwater
Australoheros charrua,Freshwater
Hemiodus microlepis,Freshwater
Hemipsilichthys nimius,Freshwater
Alphestes afer,Marine
Bryconamericus microcephalus,Freshwater
Moenkhausia forestii,Freshwater
Hypostomus goyazensis,Freshwater
Crenicichla haroldoi,Freshwater
Trachelyopterus albicrux,Freshwater
Anchoa nasus,Marine
Trichomycterus auroguttatus,Freshwater
Ancistrus centrolepis,Freshwater
Platydoras hancockii,Freshwater
Stegastes flavilatus,Marine
Pterygoplichthys undecimalis,Freshwater
Psalidodon eigenmanniorum,Freshwater
Hemigrammus guyanensis,Freshwater
Astyanax atratoensis,Freshwater
Loricaria lentiginosa,Freshwater
Parodon apolinari,Freshwater
Rhabdolichops lundbergi,Freshwater
Corydoras panda,Freshwater
Scartella itajobi,Marine
Rhamphichthys rostratus,Freshwater
Loricaria simillima,Freshwater
Malacoctenus tetranemus,Marine
Triportheus angulatus,Freshwater
Cyphocharax microcephalus,Freshwater
Trachurus lathami,Marine
Batrochoglanis villosus,Freshwater
Crenicichla percna,Freshwater
Eretmobrycon bayano,Freshwater
Cyphocharax santacatarinae,Freshwater
Chaetobranchus flavescens,Freshwater
Myloplus arnoldi,Freshwater
Neoplecostomus espiritosantensis,Freshwater
Acaronia nassa,Freshwater
Trachurus mediterraneus,Marine
Hemiodontichthys acipenserinus,Freshwater
Brachyhypopomus flavipomus,Freshwater
Hypostomus interruptus,Freshwater
Gymnotus cuia,Freshwater
Deuterodon singularis,Freshwater
Pseudoloricaria laeviuscula,Freshwater
Ancistomus snethlageae,Freshwater
Gymnotus coatesi,Freshwater
Poecilia velifera,Freshwater
Lutjanus alexandrei,Marine
Centropomus unionensis,Marine
Scorpaenodes xyris,Marine
Salmo salar,Marine and freshwater
Ancistrus multispinis,Freshwater
Scomberomorus cavalla,Marine
Tympanopleura cryptica,Freshwater
Hyphessobrycon anisitsi,Freshwater
Steindachnerina argentea,Freshwater
Goeldiella eques,Freshwater
Cyprinus carpio,Freshwater
Pachyurus junki,Freshwater
Caranx melampygus,Marine
Umbrina xanti,Marine
Trichomycterus ruitoquensis,Freshwater
Sternarchorhynchus mareikeae,Freshwater
Rhabdolichops electrogrammus,Freshwater
Characidium xanthopterum,Freshwater
Cetopsorhamdia shermani,Freshwater
Laimosemion strigatus,Freshwater
Prochilodus harttii,Freshwater
Brachyhypopomus brevirostris,Freshwater
Oligosarcus longirostris,Freshwater
Guentherus altivela,Marine
Anodus orinocensis,Freshwater
Duringlanis romani,Freshwater
Leporacanthicus triactis,Freshwater
Diapoma alburnus,Freshwater
Hypostomus oculeus,Freshwater
Synodus foetens,Marine
Hemanthias peruanus,Marine
Hypostomus coppenamensis,Freshwater
Hypsolebias flagellatus,Freshwater
Engyophrys sanctilaurentii,Marine
Lutjanus cyanopterus,Marine
Hypopygus benoneae,Freshwater
Harttia torrenticola,Freshwater
Corumbataia lucianoi,Unknown
Rineloricaria lima,Freshwater
Hemibrycon cristiani,Unknown
Sturisoma nigrirostrum,Freshwater
Tatia musaica,Freshwater
Sarotherodon galilaeus,Freshwater
Isbrueckerichthys calvus,Freshwater
Odontostilbe paraguayensis,Freshwater
Lycengraulis batesii,Freshwater
Pygocentrus cariba,Freshwater
Anablepsoides xinguensis,Freshwater
Corydoras virginiae,Freshwater
Microlepidotus brevipinnis,Marine
Bryconamericus alpha,Freshwater
Kolpotocheirodon theloura,Freshwater
Dormitator latifrons,Marine and freshwater
Antennarius multiocellatus,Marine
Leporinus boehlkei,Freshwater
Astyanax fasciatus,Freshwater
Crenicichla anthurus,Freshwater
Apistogramma trifasciata,Freshwater
Sphoeroides lobatus,Marine
Bryconamericus rubropictus,Freshwater
Parodon hilarii,Freshwater
Creagrutus atratus,Freshwater
Pseudupeneus grandisquamis,Marine
Cynoscion albus,Marine
Schultzichthys bondi,Freshwater
Eleotris amblyopsis,Marine and freshwater
Bryconamericus arilepis,Freshwater
Pseudostegophilus maculatus,Unknown
Astyanax goyanensis,Freshwater
Astyanax guaporensis,Freshwater
Amazonsprattus scintilla,Freshwater
Cteniloricaria platystoma,Freshwater
Crenicichla jegui,Freshwater
Oligosarcus oligolepis,Freshwater
Ctenolucius hujeta,Freshwater
Taunayia bifasciata,Freshwater
Soleonasus finis,Freshwater
Sternopygus branco,Freshwater
Rhabdolichops caviceps,Freshwater
Glanidium melanopterum,Freshwater
Chaenopsis celeste,Unknown
Hypostomus robinii,Freshwater
Rypticus bicolor,Marine
Pterygoplichthys ambrosettii,Freshwater
Genyatremus dovii,Marine
Parachromis loisellei,Freshwater
Paragoniates alburnus,Freshwater
Mylossoma albiscopum,Freshwater
Schizodon jacuiensis,Freshwater
Trichomycterus davisi,Freshwater
Labeo calbasu,Freshwater
Hypsoblennius brevipinnis,Marine
Kyphosus sectatrix,Marine
Panaqolus changae,Freshwater
Scoloplax distolothrix,Freshwater
Characidium vidali,Freshwater
Halichoeres brasiliensis,Marine
Bodianus rufus,Marine
Sternopygus dariensis,Freshwater
Kronoheros umbrifer,Freshwater
Astyanax xiru,Freshwater
Doras micropoeus,Freshwater
Auchenipterichthys punctatus,Freshwater
Astroblepus itae,Freshwater
Guavina guavina,Marine and freshwater
Gymnotus javari,Freshwater
Peckoltia cavatica,Freshwater
Lampris guttatus,Marine
Trichomycterus rosablanca,Freshwater
Pterois lunulata,Marine
Diplectrum rostrum,Marine
Dactyloscopus foraminosus,Marine
Astyanax mutator,Freshwater
Phalloceros tupinamba,Freshwater
Coryphopterus thrix,Marine
Gymnothorax funebris,Marine
Trichomycterus pauciradiatus,Freshwater
Hypostomus borellii,Freshwater
Symphurus tessellatus,Marine
Distocyclus conirostris,Freshwater
Cheirodon jaguaribensis,Freshwater
Corydoras fowleri,Freshwater
Oligosarcus perdido,Freshwater
Crenicichla alta,Freshwater
Isbrueckerichthys alipionis,Freshwater
Odontesthes hatcheri,Freshwater
Gymnotus tiquie,Freshwater
Cyprinus megalophthalmus,Freshwater
Dasyloricaria filamentosa,Freshwater
Sternarchella calhamazon,Freshwater
Cyprinus carpio,Freshwater
Brotula ordwayi,Marine
Brycon dentex,Freshwater
Kyphosus bigibbus,Marine
Hypostomus ternetzi,Freshwater
Ctenopharyngodon idella,Freshwater
Hypostomus basilisko,Freshwater
Panaque bathyphilus,Freshwater
Trichomycterus longibarbatus,Freshwater
Oreochromis mossambicus,Freshwater
Crenimugil crenilabis,Marine
Laemolyta taeniata,Freshwater
Plectorhinchus macrolepis,Marine
Apteronotus rostratus,Freshwater
Characidium tatama,Unknown
Dolichancistrus fuesslii,Freshwater
Holacanthus passer,Marine
Hyphessobrycon igneus,Freshwater
Hippoglossina tetrophthalma,Marine
Campellolebias brucei,Freshwater
Chaetostoma formosae,Freshwater
Calamus brachysomus,Marine
Parotocinclus britskii,Freshwater
Creagrutus ignotus,Freshwater
Diapoma thauma,Freshwater
Corydoras garbei,Freshwater
Pimelodus fur,Freshwater
Knodus chapadae,Freshwater
Hypostomus paucipunctatus,Freshwater
Acnodon normani,Freshwater
Cryptancistrus similis,Freshwater
Gymnotus ucamara,Freshwater
Gymnotus chimarrao,Freshwater
Leporinus conirostris,Freshwater
Phenacogaster franciscoensis,Freshwater
Pomadasys branickii,Marine
Lythrypnus nesiotes,Marine
Brachyhypopomus gauderio,Freshwater
Betta splendens,Freshwater
Thalassophryne nattereri,Marine
Characidium boavistae,Freshwater
Balistes polylepis,Marine
Brachyhypopomus hamiltoni,Freshwater
Parachromis motaguensis,Freshwater
Astroblepus grixalvii,Freshwater
Sternopygus obtusirostris,Freshwater
Cetopsis candiru,Freshwater
Fodiator acutus,Marine
Trichomycterus candidus,Freshwater
Hyphessobrycon nigricinctus,Freshwater
Trichomycterus paolence,Freshwater
Sebastes nigrocinctus,Marine
Pareiorhaphis garbei,Freshwater
Porotergus duende,Freshwater
Platysilurus mucosus,Freshwater
Trachinotus stilbe,Marine
Rhamphichthys drepanium,Freshwater
Boulengerella maculata,Freshwater
Gymnotus tigre,Freshwater
Oreochromis niloticus,Freshwater
Leporacanthicus galaxias,Freshwater
Hypomasticus thayeri,Freshwater
Astyanax janeiroensis,Freshwater
Gymnothorax panamensis,Marine
Trichomycterus goeldii,Freshwater
Knodus orteguasae,Freshwater
Myripristis jacobus,Marine
Pseudorinelepis genibarbis,Freshwater
Sternarchorhynchus starksi,Freshwater
Eucinostomus currani,Marine and freshwater
Epinephelus analogus,Marine
Leiarius pictus,Freshwater
Astrapogon puncticulatus,Marine
Stethojulis bandanensis,Marine
Odontostilbe microcephala,Freshwater
Sternarchorhynchus cramptoni,Freshwater
Hypostomus paucimaculatus,Freshwater
Loricariichthys rostratus,Freshwater
Triphoturus oculeum,Marine
Synodus bondi,Marine
Cyphocharax gouldingi,Freshwater
Stomatepia pindu,Freshwater
Steindachnerina guentheri,Freshwater
Symphysodon discus,Freshwater
Stegastes sanctipauli,Marine
Triportheus guentheri,Freshwater
Polydactylus approximans,Marine
Myloplus levis,Freshwater
Carangoides praeustus,Marine
Parancistrus nudiventris,Freshwater
Pareiorhaphis cameroni,Freshwater
Hypostomus niceforoi,Freshwater
Harttia punctata,Freshwater
Mullus argentinae,Marine
Isbrueckerichthys epakmos,Freshwater
Pseudepapterus cucuhyensis,Freshwater
Astyanax varzeae,Freshwater
Archolaemus janeae,Freshwater
Sorubim elongatus,Freshwater
Psectrogaster essequibensis,Freshwater
Deuterodon stigmaturus,Freshwater
Plagioscion magdalenae,Freshwater
Ancistrus bufonius,Freshwater
Gymnotus bahianus,Freshwater
Leiarius marmoratus,Freshwater
Halichoeres nicholsi,Marine
Hypsolebias hellneri,Freshwater
Astyanax altior,Freshwater
Myctophum aurolaternatum,Marine
Sternarchella terminalis,Freshwater
Eucinostomus dowii,Marine
Astyanax elachylepis,Freshwater
Astyanax bagual,Freshwater
Spatuloricaria caquetae,Freshwater
Gymnorhamphichthys hypostomus,Freshwater
Bryconamericus maromba,Unknown
Orthopristis cantharinus,Marine
Hemiancistrus fuliginosus,Freshwater
Australoheros sanguineus,Freshwater
Fistularia corneta,Marine
Thalassoma grammaticum,Marine
Schizodon platae,Freshwater
Gymnotus chaviro,Freshwater
Hassar gabiru,Freshwater
Cynoscion stolzmanni,Marine
Orthopristis forbesi,Marine
Ctenopharyngodon idella,Freshwater
Bryconamericus patriciae,Freshwater
Hypancistrus debilittera,Freshwater
Sphoeroides lispus,Marine
Micromyzon akamai,Freshwater
Brachyhypopomus regani,Freshwater
Plagiotremus azaleus,Marine
Ancistrus cirrhosus,Freshwater
Gymnogeophagus labiatus,Freshwater
Imparfinis pseudonemacheir,Freshwater
Cypselurus starksi,Marine
Scorpaena mystes,Marine
Farlowella vittata,Freshwater
Eigenmannia limbata,Freshwater
Stellifer microps,Marine
Pareques lanfeari,Marine
Odontoscion xanthops,Marine
Nannostomus marginatus,Freshwater
Hoplias auri,Unknown
Acanthemblemaria castroi,Marine
Parachromis friedrichsthalii,Freshwater
Nematolebias whitei,Freshwater
Polycentrus schomburgkii,Freshwater
Caranx caninus,Marine
Hypostomus isbrueckeri,Freshwater
Stephanolepis hispidus,Marine
Diapoma dicropotamicus,Freshwater
Caenotropus labyrinthicus,Freshwater
Rineloricaria jaraguensis,Freshwater
Trachycorystes trachycorystes,Freshwater
Corumbataia liliai,Unknown
Serrapinnus sp2,Unknown
Farlowella rugosa,Freshwater
Hemigrammus hyanuary,Freshwater
Ancistrus triradiatus,Freshwater
Lampiella gibbosa,Freshwater
Hyporthodus mystacinus,Marine
Chaetobranchus semifasciatus,Freshwater
Hemibrycon fasciatus,Freshwater
Cynoscion praedatorius,Marine
Pseudacanthicus leopardus,Freshwater
Gymnotus curupira,Freshwater
Cheilotrema fasciatum,Marine
Brachyhypopomus bennetti,Freshwater
Microspathodon dorsalis,Marine
Peckoltia braueri,Freshwater
Scarus zelindae,Marine
Parotocinclus robustus,Freshwater
Otocinclus vittatus,Freshwater
Bryconops caudomaculatus,Freshwater
Corydoras pygmaeus,Freshwater
Apistogramma playayacu,Freshwater
Hypostomus luteomaculatus,Freshwater
Brachyhypopomus sullivani,Freshwater
Regalecus glesne,Marine
Garra variabilis,Freshwater
Gymnotus esmeraldas,Freshwater
Cichlasoma dimerus,Freshwater
Pterygoplichthys gibbiceps,Freshwater
Sturisomatichthys leightoni,Freshwater
Cetopsidium soniae,Freshwater
Loricariichthys acutus,Freshwater
Hoplarchus psittacus,Freshwater
Stegastes arcifrons,Marine
Desmodema polystictum,Marine
Hypostomus hemiurus,Freshwater
Hypostomus kopeyaka,Freshwater
Steatogenys ocellatus,Freshwater
Merluccius angustimanus,Marine
Stegastes rectifraenum,Marine
Centromochlus schultzi,Freshwater
Sternarchorhynchus hagedornae,Freshwater
Hypostomus soniae,Freshwater
Gasteropelecus maculatus,Freshwater
Sternarchella schotti,Freshwater
Astroblepus homodon,Freshwater
Leporinus brunneus,Freshwater
Cheilopogon spilopterus,Marine
Hisonotus taimensis,Freshwater
Hypostomus aspilogaster,Freshwater
Pachyurus adspersus,Freshwater
Symbolophorus reversus,Marine
Hypostomus laplatae,Freshwater
Astyanax obscurus,Freshwater
Hypostomus spiniger,Freshwater
Petitella georgiae,Freshwater
Argopleura chocoensis,Freshwater
Hygophum atratum,Marine
Auchenionchus microcirrhis,Marine
Nantis indefessus,Freshwater
Bryconamericus uporas,Freshwater
Stephanolepis auratus,Marine
Trachipterus jacksonensis,Marine
Lactophrys trigonus,Marine
Cypselurus hiraii,Marine
Apteronotus cuchillejo,Freshwater
Pseudopimelodus pulcher,Freshwater
Ophichthus gomesii,Marine
Ituglanis amazonicus,Freshwater
Pareiorhaphis ruschii,Freshwater
Astyanax pelecus,Freshwater
Orthopristis chrysoptera,Marine
Serrapinnus calliurus,Freshwater
Satanoperca lilith,Freshwater
Trichomycterus zonatus,Freshwater
Hypancistrus zebra,Freshwater
Amphiarius rugispinis,Marine
Grundulus bogotensis,Freshwater
Brachyhypopomus jureiae,Freshwater
Bryconamericus emperador,Freshwater
Citharichthys darwini,Marine
Hypoptopoma incognitum,Freshwater
Baryancistrus xanthellus,Freshwater
Epinephelus cifuentesi,Marine
Bryconamericus ichoensis,Freshwater
Bellator gymnostethus,Marine
Xyrichtys victori,Marine
Archolaemus luciae,Freshwater
Canthidermis macrolepis,Marine
Corydoras hastatus,Freshwater
Hemigrammus stictus,Freshwater
Characidium serrano,Freshwater
Hypophthalmus marginatus,Freshwater
Dicrossus filamentosus,Freshwater
Thalassoma lucasanum,Marine
Rhabdolichops eastwardi,Freshwater
Parotocinclus prata,Freshwater
Tatia nigra,Freshwater
Procypris mera,Freshwater
Cyprinus acutidorsalis,Freshwater
Hyphessobrycon otrynus,Freshwater
